Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling
35_ang_24.out,0.0818110741,-4501.0295856,-4501.02960006,-0.0003934768405935,-9002.05918566,0.1438030482,3.500016206737543,4.243819034784589,3.506572206414692,11.462999455504654,3.8418828620092,2.399976365003318,704_systematic,train,0.08181107,-1.087188,3.500016,0.04653594,2.399525,1.0,1.0,-2.359224e-16,1.0,0.0,2.399976,0.9969933,-0.07748778,0.009421775,0.008430276,0.008391379,,-0.01344932,0.08319991,,0.008391379,7.041524152164098e-05,0.008391379,-2.0761666633295226,-1.087177288556356
geom_549.out,0.0774980671999999,-4501.02281533,-4501.02284658,-0.0008503562408925,-9002.04566191,0.0900009089,3.999999938962305,4.000000306405113,4.000000306405113,9.422103088067864,4.033444512239631,0.0017145094200665,704_systematic,train,0.07749807,-1.110709,4.0,0.00169221,0.000304328,1.0,0.4999994,0.8660257,0.9763998,-0.2159709,0.001719357,0.7572173,0.6531631,-0.01044795,-0.007828298,-0.007595934,,0.007616641,0.06074988,,-0.007595934,5.769821333235601e-05,0.007595934,-2.119418817384998,-1.1106979209185093
44_ang_x_job_000.out,0.07693207008,-4501.0240853,-4501.02408794,-7.183810349069972e-05,-9002.04817324,0.067907808,4.3999798387929285,4.428317965096906,4.428317965096905,10.043756713461352,4.428317965096905,0.5001773867497069,704_systematic,train,0.07693207,-1.113893,4.39998,0.5000833,-0.009698834,1.0,1.0,-1.387779e-17,1.0,0.0,0.5001774,0.9969931,-0.07749025,-0.008906703,-0.006291321,-0.006018285,,0.004741205,0.05104993,,-0.006018285,3.6219754341225e-05,0.006018285,-2.22052724972474,-1.11388129126526
md_141.out,0.07569395138,-4501.03305557,-4501.03130018,0.0477666194637766,-9002.06435575,0.1192638898,3.603430848259889,4.248617987145584,3.355015017272203,11.271757201870257,3.5333951607993126,2.2507867341234298,slater_111_md,test,0.07569391,-1.120939,3.60343,1.259935,1.865049,0.997139,0.7056151,-0.7085954,1.0,-1.715506e-05,2.250743,-0.7213256,-0.6925961,0.01088098,0.009502484,0.009287492,0.1192639,0.003844128,0.03059137,,0.009287492,8.625750765006399e-05,0.009287492,-2.032101547274228,-1.1209273482455797
42_ang_x_job_001.out,0.07344084746,-4501.02504429,-4501.02504547,-3.2109458910417744e-05,-9002.05008976,0.0710949718,4.199959681428974,4.317406628984581,4.215601970822198,10.409448060257564,4.31740662898458,1.000169322850406,704_systematic,test,0.07344085,-1.134062,4.19996,0.9999819,-0.01936302,1.0,1.0,-1.387779e-17,1.0,0.0,1.000169,0.9970027,-0.07736641,-0.008766045,-0.006357441,-0.006052635,,0.003169923,0.05189985,,-0.006052635,3.6634390443224994e-05,0.006052635,-2.21805551505674,-1.1340504934055033
geom_479.out,0.06966934742,-4501.0173345,-4501.01722963,0.0028536595327286,-9002.034564130001,-0.1240556132,2.9998993143844093,5.196152422706632,3.001523188216276,12.622311146164952,3.3223502565653726,4.242711880808777,704_systematic,train,0.06966935,-1.156958,2.999899,3.057554,2.941423,1.0,1.0,-2.359224e-16,1.0,0.0,4.242712,-0.9970042,0.07734716,0.008373409,0.005558099,0.005034248,,-0.0251143,0.0517406,,0.005034248,2.5343652925504e-05,0.005034248,-2.298065393711608,-1.1569457902776568
geom_228.out,0.06880674604,-4500.92311214,-4500.92194068,0.0318770666322574,-9001.845052820001,0.1300169659,2.7757804445701124,8.162697354588127,2.412348422802975,15.828554461699904,5.630515997357613,7.67624068318224,704_systematic,train,0.06880675,-1.162369,2.776035,6.091553,4.671286,-1.625304e-09,0.996999,-0.07741408,0.996999,-0.07741408,7.676453,-0.8654198,0.5010474,0.007204138,0.005995782,0.005460828,,-0.0125901,0.1575712,,0.005460828,2.9820642445584e-05,0.005460828,-2.2627415021667017,-1.1623563565973039
geom_13.out,0.06878225578,-4501.01722082,-4501.01711381,0.0029118919068647,-9002.03433463,0.1223795106,2.9998991577296428,5.203002205438702,3.001911033075431,12.629905042275654,3.326028526937194,4.251098327873984,704_systematic,train,0.06878226,-1.162524,2.999899,3.063033,2.94791,1.0,1.0,-6.456754e-09,-0.7375989,0.6752391,4.251158,-0.9970677,0.07652441,0.008348625,0.005421601,0.004845616,,-0.02517285,0.05038683,,0.004845616,2.3479994419456e-05,0.004845616,-2.3146510052324607,-1.1625109572637622
35_ang_48_48.out,0.0681237399,-4501.02137903,-4501.02137853,1.3605704606015934e-05,-9002.04275756,0.1092344312,3.499838904101154,7.63740793725201,3.503010226833488,15.045375790275228,5.2945841411106125,6.788308157806335,704_systematic,train,0.06812374,-1.166702,3.499839,4.892034,4.706286,1.0,1.0,-1.137979e-15,1.0,0.0,6.788308,-0.9970062,0.07732174,0.008888846,0.007439405,0.00718116,,0.003557772,0.07454985,,0.00718116,5.15690589456e-05,0.00718116,-2.1438053967963957,-1.166688767904407
geom_422.out,0.06756046392,-4501.0590117,-4501.05151938,0.2038765164475377,-9002.110531080001,0.0903211459,0.9331899311150575,7.193828434409943,2.487640870367948,14.891060077612943,4.192554504613864,7.133044518029485,704_systematic,test,0.06756046,-1.170307,0.9334334,7.129697,-0.214355,0.7071068,0.7936536,0.60837,-0.5654281,-0.8247976,7.132918,0.9927818,-0.1199348,0.01324962,0.01495775,0.01445891,,0.01887121,,,0.01445891,0.0002090600783881,0.01445891,-1.839864445519611,-1.1702945206263753
