Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang
md_081.out,-2.226049181540219,-2.288753648906706,0.8655567202750369,4.196891515420908,0.9663266,0.7527597,1.0,7.217156403044969
40_ang_x_job_012.out,-1.383498823689261,-1.4421456450660166,0.8736815782511052,4.021355909503659,1.0,1.0,1.0,4.770744176750625
35_ang_58_58.out,-1.4027224933718294,-1.4613202160831307,0.8737803569052585,3.730517965457344,1.0,1.0,1.0,8.917959407846618
geom_528.out,-3.039252513310126,-3.096453588863124,0.8765948693855509,5.165226874517421,0.9659135,0.4463663,-0.9969932,7.002183205670429
43_ang_xy_job_005.out,-1.9354589104846402,-1.989990203334898,0.8820002478037997,4.300890541434413,1.0,1.0,1.0,6.040695324215582
geom_30.out,-3.789020346850166,-3.8420752473435122,0.8850037267321792,7.022173808347739,1.0,-0.5,0.9535736,9.951928940455312
geom_118.out,-3.93446554686617,-3.9841274980840105,0.8919449455313841,6.005741918181716,1.0,-0.4999999,0.2159749,7.35191240264273
geom_223.out,-3.8685871129615745,-3.9167696481098844,0.8949885203848706,3.190632707175961,-0.2587682,0.01850232,-0.565527,9.381048025441135
geom_381.out,-2.33461246787894,-2.3805517426365057,0.8996233626070184,4.206193780961595,-3.356131e-05,0.9969988,0.996999,9.876508202872106
geom_443.out,-5.32595312087229,-5.368913597590307,0.9058150314963713,2.967037310909656,0.499965,-0.9988789,-0.4315087,9.98603892010686
42_ang_xy_job_005.out,-1.8663021287091026,-1.9065361298130945,0.9115195734784656,4.200925308714735,1.0,1.0,1.0,5.96992462263972
geom_139.out,-3.5620687828936393,-3.601744550705007,0.912691975525543,6.000476768507649,1.0,1.0,1.0,7.3484692283495345
md_155.out,-1.6283969651371397,-1.6670600461930754,0.9148226715359585,3.568271287865596,0.9850938,0.5958814,1.0,6.128281707357863
51_ang_xy_job_010.out,-2.364744715972823,-2.3993281021651995,0.9234568641663964,5.173415727602026,1.0,1.0,1.0,9.301075206662937
5_ang_54_54.out,-2.2636256289777954,-2.297179619674406,0.9256483030615381,5.052798659218473,1.0,1.0,1.0,9.127978965795222
geom_373.out,-2.8587575082145404,-2.8918008390131753,0.9267373555384417,2.574735862727282,0.4999817,0.4584142,0.997005,6.477671066217859
geom_135.out,-2.573697445315789,-2.6059183215156487,0.9284940473762151,4.762321253469782,-1.430858e-05,0.9970042,0.9970017,9.788572298833577
md_018.out,-1.5087354944926124,-1.5385253643820889,0.9337059581104511,3.511991220743725,0.9999999,0.5290631,0.999998,5.567950828345829
md_073.out,-3.627054800534025,-3.652530116953784,0.9430282079294087,7.796150849334497,0.9965859,0.8509757,1.0,8.153489978255447
52_ang_xy_job_007.out,-2.7633414301021086,-2.7882184451242615,0.9443282564896636,5.202046241518811,1.0,1.0,1.0,7.683749084919419
35_ang_30_30.out,-1.4201853170110394,-1.4418030962260637,0.9514417852827355,3.501224278648827,1.0,1.0,1.0,5.5
40_ang_x2_job_003.out,-1.6685170966938883,-1.6883383956566789,0.9553856218261874,4.004702377081223,1.0,1.0,1.0,5.517245689653488
52_ang_xy_job_001.out,-2.2250559336186333,-2.2429285265284022,0.9596821280105222,5.202021776165493,1.0,1.0,1.0,5.388877434122992
md_115.out,-1.9736575499222822,-1.9914912845793076,0.9597679988668386,4.211571181000506,0.9830621,0.1391469,1.0,7.022052764603311
5_ang_52.out,-2.652105764618972,-2.6689200710364887,0.9620235279317365,5.014198034481685,1.0,1.0,1.0,7.213875518748574
md_128.out,-1.4468939331742998,-1.4634494354089629,0.9625969865474551,3.026251854630906,0.9817479,0.1720514,1.0,5.4206299567605605
geom_527.out,-3.7408955394538492,-3.756256276570042,0.9652487833385138,6.004653861905447,1.0,0.4999995,-0.3011595,7.0037052575009175
51_ang_xy_job_007.out,-2.6834452106578497,-2.6965631638270118,0.9702464152387094,5.102089091627075,1.0,1.0,1.0,7.616429609731846
40_ang_xy_job_014.out,-1.7389322763072166,-1.7508704597133793,0.9728856924941032,4.001000056160959,1.0,1.0,1.0,5.830951894845301
35_ang_40_40.out,-1.4329018378337957,-1.444166049612246,0.9743966635637605,3.503107349040277,1.0,1.0,1.0,6.652067347825035
5_ang_82.out,-2.2111916040434583,-2.2224432710296824,0.9744248098579076,5.007424403832773,1.0,1.0,1.0,9.604165762834375
geom_514.out,-4.063710801572757,-4.073092299082017,0.9786299493490273,4.492142439848718,0.4999937,-0.4045192,-0.9970045,8.530065992910078
35_ang_60_60.out,-1.5021134285565396,-1.5112465315572017,0.9791898363503582,3.837173997957352,1.0,1.0,1.0,9.17877987534291
5_ang_56_56.out,-2.3131889722042698,-2.319742613935375,0.9850229705221893,5.100775851828817,1.0,1.0,1.0,9.365895579174476
md_122.out,-3.167769725476798,-3.1740805665528633,0.9855738204628932,7.194126666513594,0.999508,-0.1095461,1.0,8.964007341240467
geom_403.out,-3.106256442084621,-3.1093804141282284,0.9928325977661887,5.221011770676446,0.2588171,-0.1269525,0.9970064,9.753119732043489
47_ang_xy_job_010.out,-2.046112475424315,-2.048200009916151,0.9952048080170867,4.779611520887446,1.0,1.0,1.0,9.087904048789248
35_ang_16.out,-1.2035829331735484,-1.2053190910426999,0.9960103287418258,3.5083173077702083,1.0,1.0,1.0,3.8483762809787714
48_ang_xy_job_010.out,-2.128969559091804,-2.1288244157704916,1.0003342607006638,4.877968049362357,1.0,1.0,1.0,9.14002188181188
43_ang_xy_job_010.out,-1.7756870859602158,-1.7754206995595787,1.0006135655094412,4.386928571403916,1.0,1.0,1.0,8.887631855561976
5_ang_24.out,-2.2582379191730824,-2.2567058187370534,1.003534021605715,5.004584761875853,1.0,1.0,1.0,5.546169849544819
5_ang_40_40.out,-2.6077687404544068,-2.6060695252135595,1.003920251846864,5.002133654641788,1.0,1.0,1.0,7.54983443527075
40_ang_xy_job_007.out,-1.3660499097437484,-1.3642608568065384,1.0041279432071077,4.004697976502098,1.0,1.0,1.0,4.595650117230423
geom_308.out,-3.8349919729728685,-3.833157994951172,1.0042318194197866,7.005709709222328,1.0,-0.5,0.9535736,9.112404382810938
5_14_ang.out,-2.007533237510346,-2.003398815169387,1.0095653172472419,5.0001970293179445,1.0,1.0,1.0,5.192301994298868
51_ang_xy_job_001.out,-2.1318417451080243,-2.1236403034433593,1.0190639575830696,5.102068850936843,1.0,1.0,1.0,5.292447448959696
46_ang_xy_job_010.out,-1.9819670055051117,-1.9726119631064947,1.0217744586470476,4.681324629909787,1.0,1.0,1.0,9.036592278065886
5_ang_40.out,-2.6293717034900252,-2.6178964718990834,1.026774871621152,5.00065374980112,1.0,1.0,1.0,6.4031242374328485
44_ang_x_job_004.out,-1.7085362310523604,-1.6896833296202587,1.0443664251208686,4.411333688557237,1.0,1.0,1.0,5.060632371551998
geom_512.out,-3.6475599154925535,-3.6272221204774375,1.0479433233108517,6.001965892705572,1.0,0.4999995,-0.3011595,6.405562842869157
43_ang_x_job_004.out,-1.6352820462932296,-1.6097537489009603,1.0605430380867804,4.311593546683175,1.0,1.0,1.0,4.973932046178355
5_ang_1_1.out,-2.0329107630152725,-2.0071747264709536,1.0610504564900978,5.002117807459157,1.0,1.0,1.0,5.196152422706632
42_ang_x_job_004.out,-1.5635701242332731,-1.5373802708515498,1.0621597826597238,4.211865728130468,1.0,1.0,1.0,4.887739763939975
geom_494.out,-2.1633774834456743,-2.1340437475832807,1.0698767157587743,3.979770753341202,-1.430858e-05,0.9970042,0.9970017,7.871017192808818
48_ang_xy_job_007.out,-2.4608524945049037,-2.4293897281877115,1.0751344211647067,4.8022283472259,1.0,1.0,1.0,7.418894796396563
geom_247.out,-2.556336112986506,-2.5226919374746224,1.080548277856267,4.924911636956038,2.106085e-05,0.9969957,0.9969997,9.178650685236477
5_ang_84.out,-2.2595248870065094,-2.2257213965548637,1.0809447347991885,5.002508886558823,1.0,1.0,1.0,9.775479527879948
geom_41.out,-1.968241557882334,-1.933274129716505,1.0838456231799527,2.5977676414077147,3.828983e-05,0.9969819,0.9970035,8.167415912750618
40_ang_xy2_job_013.out,-1.690666707450892,-1.6551170259876713,1.0852996962550334,4.203117211142225,1.0,1.0,1.0,9.125787637239869
geom_469.out,-4.6767895775930945,-4.641239847380842,1.085299818078623,5.545160501319507,0.7070844,-0.5195811,-0.5655495,9.77002632865301
52_ang_xy_job_002.out,-2.447734221867451,-2.411961017999328,1.0858584213751825,5.205848359508756,1.0,1.0,1.0,5.616048432839589
5_ang_58_58.out,-2.410905802574008,-2.3739709939925433,1.0887666476239768,5.1638216749419215,1.0,1.0,1.0,9.606247966818264
md_004.out,-2.006572338195001,-1.9670935540903898,1.0951630538066464,4.188931329367192,0.9976247,0.47082,1.0,5.397451163343676
geom_148.out,-1.249683144247926,-1.2081915607587277,1.1002505225285237,2.556071334802689,1.0,1.0,-0.7375989,9.856229093816763
47_ang_xy_job_007.out,-2.385199264980052,-2.3434851979191578,1.1008143113578477,4.702278713443089,1.0,1.0,1.0,7.354590403278758
geom_100.out,-5.698970004336019,-5.655545951977743,1.1051571871169015,5.414044628193325,0.4999892,-0.9942668,-0.565502,9.623681778145306
geom_447.out,-2.6068118650133227,-2.557295917274349,1.120768581153256,5.074884942312879,1.0,-0.5,0.9535736,9.851348417139253
44_ang_xy_job_007.out,-2.1469917535605507,-2.0963089912914015,1.1237837872529737,4.402443537275634,1.0,1.0,1.0,7.166589146867567
