Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
geom_303.out,-2.129765485039674,-2.414018097811942,0.5196936223606147,4.230530166134264,-1.430858e-05,0.9970042,0.9970017,10.086764181316624,0.0002270464
md_129.out,-3.1507186609670983,-3.43363063434726,0.5213003621333631,7.109230869363577,0.9979639,0.09428809,1.0,8.545809240237814,6.991017e-08
5_08_ang.out,-1.651343381334665,-1.9342296968592836,0.5213311611535165,5.031239442920601,1.0,1.0,1.0,5.063595560468865,0.001094473
md_135.out,-2.088311027042005,-2.3683523105927895,0.5247575750069161,3.810349805334151,0.9987576,-0.3018354,1.0,5.096796572834843,0.0003014968
5_ang_60.out,-2.1856290981278934,-2.4642012838189444,0.5265356901769808,5.012381352800284,1.0,1.0,1.0,7.810249675906654,0.0002794503
md_013.out,-3.0068585989860237,-3.28348475592065,0.5289003361796838,6.433156749586085,0.9975132,0.09743362,1.0,7.249951759915717,5.465093e-07
5_ang_06_06.out,-1.670062289555246,-1.946024933351133,0.5297090052964972,5.029239958452967,1.0,1.0,1.0,5.071488933242386,0.001036724
geom_325.out,-0.7787906197788861,-1.0545988183437287,0.5298974156535181,2.470659261695145,1.0,1.0,1.0,8.774964387392123,0.01412739
49_ang_xy_job_000.out,-1.539339957840498,-1.8119460927395499,0.533818800518551,4.946852389115729,1.0,1.0,1.0,4.950757517794626,0.001536498
geom_29.out,-2.235905145840023,-2.507443831371059,0.5351324837979657,2.9501994644630387,0.7070798,-0.9158167,0.9970127,9.793494170470364,0.001835187
5_ang_76.out,-2.1165837543938935,-2.386534370120488,0.5370928665290703,5.036568047599477,1.0,1.0,1.0,9.097252332435328,0.0003057581
geom_546.out,-3.2848187516445884,-3.5541447695583193,0.5378658636359046,6.38513236806458,0.965917,0.4976799,0.4310957,8.611628732557854,5.158864e-07
35_ang_10.out,-0.6765152510363915,-0.9455639050136974,0.5382094835717817,3.518478411472778,1.0,1.0,1.0,3.640054944640259,0.02417256
48_ang_xy_job_003.out,-1.7893668171254182,-2.0579977673164565,0.5387273816688671,4.800138250852782,1.0,1.0,1.0,5.571355310873647,0.0009132341
51_ang_xy_job_004.out,-2.1511561059473223,-2.4158953925472635,0.5435765506075788,5.101759848650267,1.0,1.0,1.0,6.205642593640081,0.0002735221
geom_509.out,-2.6639352253784994,-2.928213343507241,0.544154070057141,4.979166072490552,0.8660011,0.2678517,0.5653672,7.046563052345308,0.0001397822
43_ang_xy_job_004.out,-1.510569618386982,-1.7745378541610668,0.5445424791319895,4.302096413761551,1.0,1.0,1.0,5.566866263886712,0.00196252
md_048.out,-3.159160517242449,-3.422028493555623,0.5459237943944707,6.66354809570547,0.9791318,0.9934569,1.0,7.936008315116674,8.987009e-07
geom_231.out,-2.2183614282231052,-2.4811397101300185,0.5460365551351025,3.0608405633376266,-0.8660253,0.9999283,0.997012,10.108962532300236,0.002484462
47_ang_xy_job_003.out,-1.7081136031778201,-1.9689725292430036,0.5484550932553974,4.70014523470286,1.0,1.0,1.0,5.485435260760991,0.001173846
51_ang_xy_job_003.out,-2.0440148958570785,-2.303920513051332,0.549660315499467,5.100118942465951,1.0,1.0,1.0,5.831809324729333,0.0004150448
geom_420.out,-2.5885622005168853,-2.846846451730534,0.5517162158621263,5.043706400357281,1.0,-0.4999999,0.2159749,8.665121809653458,8.942928e-05
geom_66.out,-2.921071586922376,-3.1775580174974603,0.5540048534143858,5.474789288938342,0.4999817,0.4584142,0.997005,9.793710759569938,3.715713e-06
35_ang_30_30.out,-1.4201853170110394,-1.6758624867546268,0.5550381439994105,3.501224278648827,1.0,1.0,1.0,5.5,0.002469033
