Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling,KRR_Predicted_log10
geom_336.out,0.00020680664,-4501.02012602,-4501.09838872,-2.129637634776417,-9002.11851474,-0.0007982209,6.891737558962592,6.894156350874994,3.308206613093868,12.272224775410448,5.231046209825813,0.1826067049544948,704_systematic,train,0.0002068066,-3.684436,6.891645,0.002103839,-0.1824438,0.4999593,0.9970365,0.0769301,0.9970163,-0.07719145,0.1824559,0.9989365,0.04610734,-0.005479439,-0.002133929,-0.001967868,,-0.001569844,0.040997,,-0.001967868,3.872504465424e-06,0.001967868,-2.706004036168865,-3.680255694992052,-3.2977910889933115
md_099.out,0.00019592208,-4501.02049457,-4501.02400031,-0.0953960934370039,-9002.04449488,-0.0012913026,6.860975236188673,7.885831412233842,6.326605567513593,13.90561403879487,6.622122847035836,3.887589982312921,slater_111_md,train,0.000195922,-3.707917,6.861012,-2.236782,-3.17977,0.9886964,-0.4215417,0.906809,1.0,4.516735e-06,3.88769,-0.7715865,-0.6361244,2.040976e-06,1.13112e-06,1.50081e-06,-0.001291303,-4.611563e-07,0.06818633,,1.50081e-06,2.2524306561e-12,1.50081e-06,-5.823673995848144,-3.7035057536093774,
md_090.out,0.00018231638,-4501.02057617,-4501.02328149,-0.0736155446515893,-9002.043857659999,0.0017082756,6.904458823239102,9.069735820324482,6.659315827753929,15.696810801052964,7.416258305435767,5.881203636048722,slater_111_md,train,0.0001823163,-3.739175,6.904476,-4.494995,-3.792607,0.9981462,0.941727,0.3363781,1.0,4.906571e-06,5.881229,-0.9433539,0.3317882,1.907251e-07,-7.309558e-08,2.552215e-07,0.001708276,-1.170196e-06,0.08523535,,2.552215e-07,6.513801406225004e-14,2.552215e-07,-6.593081041568803,-3.734436067778708,
geom_527.out,0.00017959524,-4501.02020225,-4501.02025675,-0.0014830213070832,-9002.040459,0.0003163443,5.999939458465536,7.0037052575009175,6.004653861905447,13.368289182003846,6.105841542889974,3.6128401332876994,704_systematic,train,0.0001795952,-3.745705,5.999939,2.063267,2.965653,1.0,0.4999995,-0.8660257,-0.3011595,0.9535738,3.612779,-0.7582319,-0.6519849,6.811201e-06,5.468648e-06,3.488377e-06,,8.546697e-06,4.607358e-05,,3.488377e-06,1.2168774094129e-11,3.488377e-06,-5.457376461119205,-3.740895539453849,
md_110.out,0.00017143182,-4501.02306445,-4501.02418416,-0.0304688767005072,-9002.04724861,0.0003845437,5.465354233001137,5.951285906923058,5.3422621195345705,11.877100866335772,5.406875296647686,2.355357096866111,slater_111_md,test,0.0001714317,-3.765909,5.465351,2.063732,1.135381,0.9993989,0.03431823,-0.999411,1.0,-2.841494e-05,2.355436,-0.4269026,0.9042976,1.069858e-05,6.158762e-06,8.027912e-06,0.0003845437,9.106566e-05,0.0002781956,,8.027912e-06,6.444737107974401e-11,8.027912e-06,-5.095397342689866,-3.7608712183787865,
geom_98.out,0.00016598954,-4501.06458399,-4501.06073373,0.1047709649649696,-9002.12531772,-0.0008784804,8.776227783287776,9.72638259957118,4.800988578664815,16.218338398567653,7.403843470085317,4.1928921246663045,704_systematic,test,0.0001659895,-3.779919,8.776629,3.160362,2.755504,-2.828869e-08,-0.4314875,0.9021189,-0.4314876,0.9021189,4.192934,-0.9628806,0.2699275,1.676003e-05,-1.836995e-05,-1.568912e-05,,-1.749023e-05,0.001058663,,-1.568912e-05,2.461484863744e-10,1.568912e-05,-4.804401387550299,-3.774717759117624,
geom_30.out,0.00016054726,-4501.01946071,-4501.01944635,0.000390755704622,-9002.03890706,-0.0014912302,6.9998320827157325,9.951928940455312,7.022173808347739,16.635703425387398,8.003426739948894,7.074124712616786,704_systematic,train,0.0001605473,-3.794397,6.999832,5.098928,4.90341,1.0,-0.5,0.8660254,0.9535736,0.3011601,7.074072,-0.9969456,0.07809957,-4.288363e-07,-3.286074e-07,-2.063089e-07,,-2.044279e-07,9.814417e-06,,-2.063089e-07,4.256336221921e-14,2.063089e-07,-6.685479931444149,-3.789020346850166,
44_ang_xy_job_001.out,0.00015238384,-4501.10704514,-4501.10638773,0.0178890464686488,-9002.213432870001,0.0002486926,4.399966435287572,4.621688003316537,4.402458240540164,10.677226543939208,4.617951843328382,1.414317986996838,704_systematic,train,0.0001523838,-3.817061,4.399966,1.019321,0.9804486,1.0,1.0,6.938894000000001e-17,1.0,0.0,1.414318,-0.9969794,0.07766624,-0.002584121,-0.001683613,-0.001583082,,0.0002161463,0.01384941,,-0.001583082,2.506148618724e-06,0.001583082,-2.800496588827184,-3.811398161034783,-1.6715935120941918
md_107.out,0.00014422042,-4501.02151241,-4501.06070268,-1.0664221130858964,-9002.082215089998,-0.0012028764,6.782177503070626,7.994638955944102,6.316595271371675,13.625921945934962,6.975229206756219,4.232767457909977,slater_111_md,train,0.0001442203,-3.840973,6.782156,-3.224267,2.741835,0.9673643,-0.5859357,-0.8103575,1.0,-4.797695e-06,4.232441,-0.948368,-0.3171721,-2.756854e-06,-1.768472e-06,-1.797888e-06,-0.001202876,-6.196666e-07,4.621944e-05,,-1.797888e-06,3.2324012605440003e-12,1.797888e-06,-5.745237124713791,-3.834991972972869,
geom_308.out,0.00014422042,-4501.01944474,-4501.01943567,0.0002468073865184,-9002.03888041,-0.0015265153,6.999818574664353,9.112404382810938,7.005709709222328,15.837946172895334,7.378784297387274,5.834248328418659,704_systematic,train,0.0001442204,-3.840973,6.999819,5.060265,2.903783,1.0,-0.5,0.8660254,0.9535736,0.3011601,5.83423,-0.4908389,0.8712503,-3.328725e-07,-3.245357e-07,-1.154667e-07,,-6.755453e-07,9.75094e-06,,-1.154667e-07,1.3332558808889999e-14,1.154667e-07,-6.937539484807178,-3.834991972972869,
